timstamp,open,high,low,close
1637625600000,4086.28000000,4385.59000000,4059.62000000,4339.44000000
1637712000000,4339.45000000,4373.94000000,4167.65000000,4269.36000000
1637798400000,4270.10000000,4550.00000000,4248.27000000,4524.85000000
1637884800000,4524.48000000,4551.00000000,3913.00000000,4041.20000000
1637971200000,4041.20000000,4183.66000000,4028.34000000,4095.29000000
1638057600000,4095.29000000,4298.51000000,3964.00000000,4294.78000000
1638144000000,4294.77000000,4458.92000000,4276.89000000,4444.53000000
1638230400000,4444.54000000,4753.00000000,4346.36000000,4630.26000000
1638316800000,4630.25000000,4778.75000000,4523.99000000,4582.95000000
1638403200000,4582.95000000,4634.83000000,4433.00000000,4511.21000000
1638489600000,4511.35000000,4654.88000000,4032.50000000,4215.73000000
1638576000000,4215.01000000,4238.59000000,3503.68000000,4117.25000000
1638662400000,4117.25000000,4248.19000000,4031.39000000,4196.44000000
1638748800000,4196.44000000,4376.15000000,3921.00000000,4347.59000000
1638835200000,4347.57000000,4425.00000000,4255.92000000,4306.40000000
1638921600000,4306.40000000,4450.49000000,4222.95000000,4436.91000000
1639008000000,4436.91000000,4488.00000000,4076.16000000,4105.64000000
1639094400000,4105.64000000,4231.08000000,3887.37000000,3897.94000000
1639180800000,3898.31000000,4097.08000000,3828.22000000,4089.37000000
1639267200000,4089.68000000,4173.63000000,3986.25000000,4130.00000000
1639353600000,4130.00000000,4142.75000000,3671.45000000,3781.93000000
1639440000000,3781.92000000,3882.74000000,3685.00000000,3858.99000000
1639526400000,3858.99000000,4092.22000000,3643.73000000,4019.08000000
1639612800000,4019.54000000,4113.43000000,3942.11000000,3958.11000000
1639699200000,3959.11000000,3994.10000000,3700.00000000,3875.42000000
1639785600000,3875.43000000,3996.93000000,3767.01000000,3959.93000000
1639872000000,3959.93000000,4032.43000000,3884.00000000,3924.14000000
1639958400000,3924.14000000,3983.37000000,3753.00000000,3944.73000000
1640044800000,3944.72000000,4063.00000000,3913.21000000,4014.15000000
1640131200000,4014.41000000,4074.87000000,3933.40000000,3979.51000000
1640217600000,3979.51000000,4150.00000000,3893.23000000,4111.41000000
1640304000000,4111.41000000,4134.84000000,4017.17000000,4046.36000000
1640390400000,4046.35000000,4137.91000000,4018.62000000,4094.83000000
1640476800000,4094.36000000,4105.00000000,4000.00000000,4063.56000000
1640563200000,4063.57000000,4127.46000000,4031.00000000,4037.23000000
1640649600000,4037.22000000,4037.23000000,3759.36000000,3792.75000000
1640736000000,3792.75000000,3827.78000000,3604.20000000,3630.19000000
1640822400000,3630.18000000,3769.10000000,3585.00000000,3709.27000000
1640908800000,3709.27000000,3815.00000000,3622.29000000,3676.23000000
1640995200000,3676.22000000,3776.45000000,3673.46000000,3765.54000000
1641081600000,3765.54000000,3857.44000000,3717.30000000,3828.27000000
1641168000000,3828.11000000,3853.09000000,3680.00000000,3765.89000000
1641254400000,3765.89000000,3900.73000000,3713.11000000,3785.11000000
1641340800000,3785.10000000,3848.00000000,3415.00000000,3540.63000000
1641427200000,3539.82000000,3550.43000000,3300.00000000,3406.81000000
1641513600000,3406.81000000,3416.76000000,3064.42000000,3199.24000000
1641600000000,3198.68000000,3250.00000000,3000.00000000,3080.95000000
1641686400000,3080.98000000,3211.72000000,3057.35000000,3151.97000000
1641772800000,3151.97000000,3185.00000000,2928.83000000,3082.68000000
1641859200000,3082.87000000,3263.54000000,3051.80000000,3239.72000000
1641945600000,3239.73000000,3411.43000000,3206.20000000,3371.26000000
1642032000000,3371.60000000,3410.00000000,3233.43000000,3240.61000000
